Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
EPIC 211945201 b,0.001,0.01,0.066,0.51,0.08495,1062.0,893.0,2.901,19.4922,3.91,8.8,181.69,6069.0,4.22,True,nexsci
EPIC 220674823 b,0.017,0.005,0.009,0.14,0.02429,2739.0,2303.0,3.469,0.5712,1.532,10.3,244.59,5613.0,4.6,True,nexsci
eps CrB b,,,,1.13,6.7,1015.0,854.0,4.114,417.9,,1.3,69.87,4406.0,1.94,False,nexsci
Fomalhaut b,,,,1.2,2.6,53.0,44.0,3.651,555530.0,,0.9,7.7,8399.0,4.14,False,nexsci
EPIC 220674823 c,0.0,0.001,0.015,0.2,0.01825,950.0,799.0,3.071,13.3346,3.4392,10.3,244.59,5613.0,4.6,True,nexsci
EPIC 246851721 b,0.055,0.062,0.012,1.05,3.0,1668.0,1403.0,3.828,6.1802,4.1081,9.9,372.63,6202.0,4.16,True,nexsci
eps Eri b,,,,1.24,0.78,134.0,113.0,3.099,2690.0,,1.8,3.2,5020.0,4.59,False,nexsci
GJ 3138 c,,,,0.17,0.01315,631.0,531.0,3.068,5.974,,7.2,28.47,3717.0,4.63,False,nexsci
eps Tau b,,,,1.13,7.6,749.0,630.0,4.169,594.9,,1.4,47.53,4901.0,2.67,False,nexsci
gam Lib b,,,,1.23,1.02,827.0,696.0,3.223,415.2,,1.5,47.4,4822.0,2.47,False,nexsci
gam Lib c,,,,1.15,4.58,625.0,526.0,3.934,964.6,,1.5,47.4,4822.0,2.47,False,nexsci
GJ 3138 b,,,,0.11,0.0056,1074.0,903.0,3.092,1.22,,7.2,28.47,3717.0,4.63,False,nexsci
GJ 1132 b,,,,0.1,0.00522,695.0,584.0,3.103,1.6289,,8.3,12.61,3270.0,4.88,True,nexsci
GJ 1132 c,,,,0.13,0.00831,394.0,331.0,3.099,8.929,,8.3,12.61,3270.0,5.02,False,nexsci
GJ 1148 b,,,,1.07,0.30425,278.0,233.0,2.819,41.38,,6.8,11.01,3287.0,4.87,False,nexsci
GJ 1214 b,0.0,0.028,0.329,0.24,0.02571,700.0,588.0,3.026,1.5804,0.8688,8.8,14.64,3250.0,5.03,True,nexsci
GJ 1148 c,,,,0.87,0.21414,118.0,100.0,2.85,532.58,,6.8,11.01,3287.0,4.87,False,nexsci
GJ 163 b,,,,0.29,0.03335,522.0,439.0,2.993,8.6318,,7.1,15.13,3500.0,4.82,False,nexsci
GJ 179 b,,,,1.24,0.82,77.0,65.0,3.121,2288.0,,6.9,12.36,3370.0,4.83,False,nexsci
GJ 273 c,,,,0.09,0.00371,547.0,460.0,3.017,4.7234,,4.9,5.92,3382.0,4.91,False,nexsci
KMT-2016-BLG-2142L b,,,,1.09,15.49,,,4.509,,,,7010.0,,,False,nexsci
GJ 3470 b,0.001,0.037,0.322,0.41,0.04373,813.0,683.0,2.814,3.3366,1.8984,8.0,29.42,3600.0,4.7,True,nexsci
GJ 3634 b,,,,0.25,0.026,781.0,656.0,3.003,2.6456,,7.5,20.38,3517.0,4.78,False,nexsci
GJ 3942 b,,,,0.23,0.02246,702.0,591.0,3.026,6.905,,6.3,16.93,3867.0,4.65,False,nexsci
GJ 3998 b,,,,0.12,0.00777,877.0,738.0,3.105,2.6498,,6.8,18.15,3722.0,4.77,False,nexsci
GJ 3998 c,,,,0.21,0.0197,501.0,421.0,3.036,13.74,,6.8,18.15,3722.0,4.77,False,nexsci
GJ 433 b,,,,0.21,0.01901,564.0,474.0,3.037,7.3705,,5.6,9.06,3461.0,4.81,False,nexsci
GJ 436 b,0.002,0.079,0.386,0.37,0.07,818.0,688.0,3.098,2.6439,1.0054,6.1,9.75,3586.0,4.79,True,nexsci
GJ 504 b,,,,1.16,4.0,61.0,51.0,3.867,,,4.0,17.53,6234.0,4.6,False,nexsci
