Planet_Name,SNR_Emission_15_micron,SNR_Emission_5_micron,SNR_Transmission_K_mag,Rp,Mp,Tday,Teq,log10g_p,Period,Transit_Duration,K_mag,Distance,Teff,log10g_s,Transit_Flag,Catalog_Name
Kepler-184 c,0.0,0.0,0.003,0.18,0.028,824.0,693.0,3.35,20.303,4.4299,12.7,610.33,5788.0,4.51,True,nexsci
Kepler-184 d,0.0,0.0,0.006,0.22,0.0213,732.0,615.0,3.03,29.0224,3.961,12.7,610.33,5788.0,4.51,True,nexsci
Kepler-185 b,0.001,0.001,0.005,0.1,0.00537,1667.0,1402.0,3.09,1.6329,1.5599,12.5,466.74,5208.0,4.54,True,nexsci
Kepler-185 c,0.0,0.0,0.005,0.18,0.0149,721.0,606.0,3.057,20.729,2.7704,12.5,466.74,5208.0,4.54,True,nexsci
Kepler-186 b,0.0,0.0,0.011,0.1,0.0039,804.0,676.0,3.03,3.8868,1.8098,11.6,177.59,3788.0,4.77,True,nexsci
Kepler-186 c,0.0,0.0,0.011,0.11,0.0066,701.0,590.0,3.115,7.2673,2.2691,11.6,177.59,3788.0,4.77,True,nexsci
Teegarden's Star b,,,,0.09,0.0033,348.0,293.0,2.995,4.91,,7.6,3.83,2904.0,5.27,False,nexsci
Kepler-186 d,0.0,0.0,0.011,0.13,0.008,533.0,448.0,3.103,13.343,2.9002,11.6,177.59,3788.0,4.77,True,nexsci
Kepler-186 e,0.0,0.0,0.008,0.11,0.00678,449.0,378.0,3.119,22.4077,3.3199,11.6,177.59,3788.0,4.77,True,nexsci
Teegarden's Star c,,,,0.09,0.00349,262.0,221.0,3.0,11.409,,7.6,3.83,2904.0,5.27,False,nexsci
Kepler-186 f,0.0,0.0,0.005,0.1,0.00537,236.0,199.0,3.09,129.9441,5.62,11.6,177.59,3755.0,4.74,True,nexsci
Kepler-187 b,0.0,0.0,0.003,0.13,0.00809,1637.0,1377.0,3.101,4.9389,4.372,12.6,1143.0,6105.0,4.27,True,nexsci
L 98-59 b,0.0,0.003,0.236,0.08,0.00126,725.0,609.0,2.733,2.2531,0.992,7.1,10.62,3415.0,4.86,True,nexsci
KMT-2018-BLG-1025L b,,,,0.21,0.01906,,,3.038,,,,6705.0,,,False,nexsci
Kepler-187 c,0.0,0.001,0.007,0.24,0.0239,1264.0,1063.0,3.019,10.6403,5.4381,12.6,1143.0,6105.0,4.27,True,nexsci
Kepler-188 b,0.001,0.001,0.004,0.15,0.0109,2061.0,1733.0,3.079,2.0619,1.9743,13.1,968.54,6021.0,4.35,True,nexsci
Kepler-188 c,0.001,0.001,0.007,0.28,0.0324,1435.0,1207.0,2.995,5.9966,3.3129,13.1,968.54,6021.0,4.35,True,nexsci
Kepler-189 b,0.0,0.0,0.003,0.11,0.00606,876.0,737.0,3.11,10.3999,3.377,12.9,591.53,5235.0,4.62,True,nexsci
Kepler-189 c,0.0,0.0,0.002,0.21,0.071,702.0,591.0,3.593,20.1349,3.7962,12.9,591.53,5235.0,4.62,True,nexsci
Kepler-18 b,0.001,0.001,0.004,0.18,0.022,1527.0,1284.0,3.236,3.5047,1.9811,11.8,433.05,5345.0,4.31,True,nexsci
Kepler-18 c,0.001,0.006,0.038,0.49,0.054,1178.0,990.0,2.746,7.6416,3.4102,11.8,433.05,5345.0,4.31,True,nexsci
Kepler-18 d,0.0,0.005,0.066,0.62,0.052,943.0,793.0,2.521,14.8589,3.492,11.8,433.05,5345.0,4.31,True,nexsci
Kepler-190 b,0.001,0.001,0.007,0.14,0.00961,1512.0,1271.0,3.091,2.02,1.821,12.2,433.39,5106.0,4.56,True,nexsci
Kepler-190 c,0.0,0.0,0.005,0.13,0.00859,1235.0,1038.0,3.1,3.763,1.5147,12.2,433.39,5106.0,4.56,True,nexsci
Kepler-191 b,0.0,0.0,0.004,0.12,0.00742,913.0,768.0,3.106,9.9396,3.432,12.9,594.46,5282.0,4.59,True,nexsci
Kepler-191 c,0.0,0.0,0.004,0.17,0.013,752.0,633.0,3.068,17.7385,2.821,12.9,594.46,5282.0,4.59,True,nexsci
Kepler-191 d,0.0,0.001,0.007,0.2,0.0183,1093.0,919.0,3.042,5.945,2.5711,12.9,594.46,5215.0,4.56,True,nexsci
Kepler-192 b,0.0,0.001,0.008,0.24,0.025,1053.0,885.0,3.017,9.9267,3.7879,12.4,651.67,5479.0,4.43,True,nexsci
Kepler-192 c,0.0,0.0,0.008,0.25,0.0258,815.0,686.0,3.013,21.2234,5.0345,12.4,651.67,5479.0,4.43,True,nexsci
Kepler-192 d,0.0,0.0,0.004,0.09,0.00328,1180.0,993.0,2.992,6.4703,3.241,12.4,651.67,5487.0,4.46,True,nexsci
Kepler-193 b,0.0,0.0,0.004,0.21,0.0198,1197.0,1006.0,3.034,11.3885,3.6307,13.2,1009.1,6335.0,4.4,True,nexsci
Kepler-193 c,0.0,0.0,0.004,0.24,0.0252,728.0,613.0,3.017,50.6975,5.893,13.2,1009.1,6335.0,4.4,True,nexsci
Kepler-194 b,0.001,0.001,0.004,0.14,0.00909,1971.0,1658.0,3.092,2.0923,2.4062,13.5,1097.97,6089.0,4.42,True,nexsci
Kepler-194 c,0.0,0.0,0.005,0.23,0.0227,974.0,819.0,3.023,17.308,5.1126,13.5,1097.97,6089.0,4.42,True,nexsci
Kepler-194 d,0.0,0.0,0.004,0.21,0.02,672.0,565.0,3.034,52.815,7.267,13.5,1097.97,6089.0,4.42,True,nexsci
Kepler-195 b,0.0,0.001,0.006,0.18,0.015,973.0,818.0,3.055,8.3079,3.1516,13.0,652.05,5329.0,4.6,True,nexsci
Kepler-195 c,0.0,0.0,0.003,0.14,0.00951,608.0,511.0,3.093,34.0969,3.896,13.0,652.05,5329.0,4.6,True,nexsci
Kepler-196 b,0.0,0.0,0.006,0.17,0.0134,699.0,588.0,3.06,20.7399,3.0508,12.2,451.31,5128.0,4.57,True,nexsci
Kepler-196 c,0.0,0.0,0.007,0.2,0.0178,530.0,446.0,3.043,47.4277,5.1655,12.2,451.31,5128.0,4.57,True,nexsci
Kepler-197 b,0.0,0.001,0.009,0.09,0.00328,1488.0,1251.0,2.992,5.5993,3.8944,10.5,330.57,6004.0,4.3,True,nexsci
TOI-270 c,0.0,0.004,0.124,0.21,0.01935,583.0,490.0,3.036,5.6606,1.658,8.3,22.48,3506.0,4.87,True,nexsci
Kepler-197 c,0.0,0.001,0.003,0.11,0.017,1215.0,1021.0,3.542,10.3497,4.2854,10.5,330.57,6004.0,4.3,True,nexsci
Kepler-197 d,0.0,0.0,0.007,0.11,0.00624,1056.0,888.0,3.115,15.6776,5.2622,10.5,330.57,6004.0,4.3,True,nexsci
TOI-270 b,0.0,0.002,0.071,0.11,0.00497,693.0,583.0,3.024,3.3602,1.387,8.3,22.48,3506.0,4.87,True,nexsci
KMT-2017-BLG-0165L b,,,,0.57,0.11,,,2.916,,,,4530.0,,,False,nexsci
Kepler-197 e,0.0,0.0,0.008,0.08,0.00218,900.0,757.0,2.916,25.2097,6.553,10.5,330.57,6004.0,4.3,True,nexsci
Kepler-198 b,0.0,0.001,0.011,0.25,0.0263,856.0,720.0,3.011,17.79,4.4513,12.0,495.36,5574.0,4.47,True,nexsci
EPIC 201754305 d,,,,0.09,0.0034,,,2.998,2.7158,,12.1,334.97,4761.0,4.63,True,nexsci
Kepler-198 c,0.0,0.0,0.006,0.22,0.021,609.0,512.0,3.032,49.5674,3.7425,12.0,495.36,5574.0,4.47,True,nexsci
Kepler-198 d,0.002,0.001,0.007,0.14,0.0093,2060.0,1732.0,3.096,1.3118,1.7729,12.0,495.36,5636.0,4.49,True,nexsci
Kepler-199 b,0.0,0.001,0.011,0.28,0.031,802.0,674.0,3.001,23.6376,5.0218,12.1,521.05,5644.0,4.44,True,nexsci
Kepler-199 c,0.0,0.0,0.01,0.29,0.0334,567.0,477.0,2.993,67.0934,6.9062,12.1,521.05,5644.0,4.44,True,nexsci
Kepler-19 b,0.0,0.002,0.014,0.2,0.02643,1020.0,858.0,3.227,9.2872,3.3652,10.3,218.56,5544.0,4.51,True,nexsci
Kepler-19 c,,,,0.33,0.04122,,,2.978,28.731,,10.3,218.56,5544.0,4.51,False,nexsci
Kepler-19 d,,,,0.45,0.07079,,,2.936,62.95,,10.3,218.56,5544.0,4.51,False,nexsci
Kepler-200 b,0.0,0.001,0.007,0.19,0.0163,1116.0,939.0,3.049,8.5948,3.5432,12.5,665.91,5678.0,4.45,True,nexsci
Kepler-200 c,0.0,0.0,0.003,0.14,0.00993,1052.0,885.0,3.087,10.2222,1.1939,12.5,665.91,5678.0,4.45,True,nexsci
Kepler-201 b,0.0,0.0,0.007,0.22,0.0208,922.0,775.0,3.031,25.6721,5.627,11.7,636.45,6065.0,4.29,True,nexsci
Kepler-201 c,0.0,0.0,0.007,0.25,0.0267,510.0,428.0,3.011,151.8841,11.628,11.7,636.45,6065.0,4.29,True,nexsci
Kepler-202 b,0.0,0.001,0.01,0.14,0.0104,1033.0,869.0,3.089,4.0694,2.0949,11.6,285.11,4668.0,4.65,True,nexsci
Kepler-202 c,0.0,0.0,0.009,0.17,0.0128,652.0,548.0,3.066,16.2825,2.9227,11.6,285.11,4668.0,4.65,True,nexsci
Kepler-203 b,0.001,0.001,0.007,0.23,0.0224,1696.0,1426.0,3.025,3.1627,1.9367,12.4,703.3,5821.0,4.36,True,nexsci
Kepler-203 c,0.0,0.001,0.0,0.22,2.36,1424.0,1197.0,5.082,5.3706,2.046,12.4,703.3,5821.0,4.36,True,nexsci
Kepler-203 d,0.0,0.0,0.0,0.13,0.107,1112.0,935.0,4.209,11.3297,3.952,12.4,703.3,5821.0,4.36,True,nexsci
Kepler-204 b,0.0,0.001,0.005,0.23,0.0218,1085.0,912.0,3.024,14.401,3.9562,12.5,686.72,5812.0,4.27,True,nexsci
Kepler-204 c,0.0,0.0,0.003,0.16,0.0121,892.0,750.0,3.069,25.6606,4.383,12.5,686.72,5812.0,4.27,True,nexsci
Kepler-205 b,0.0,0.002,0.019,0.14,0.00909,1027.0,864.0,3.092,2.7556,1.8559,10.8,159.72,4321.0,4.74,True,nexsci
Kepler-205 c,0.0,0.0,0.013,0.15,0.0105,526.0,442.0,3.087,20.3065,2.8014,10.8,159.72,4321.0,4.74,True,nexsci
Kepler-206 b,0.0,0.0,0.003,0.11,0.00588,1291.0,1086.0,3.105,7.782,3.87,12.0,594.45,5764.0,4.31,True,nexsci
Kepler-206 c,0.0,0.0,0.005,0.16,0.0119,1082.0,910.0,3.072,13.1375,4.8346,12.0,594.45,5764.0,4.31,True,nexsci
Kepler-206 d,0.0,0.0,0.003,0.11,0.0057,893.0,751.0,3.099,23.4428,5.768,12.0,594.45,5764.0,4.31,True,nexsci
Kepler-207 b,0.003,0.001,0.005,0.14,0.00972,2514.0,2114.0,3.09,1.6119,3.0391,11.8,875.52,5920.0,4.13,True,nexsci
Kepler-207 c,0.001,0.001,0.004,0.13,0.00899,2041.0,1716.0,3.094,3.0716,4.0854,11.8,875.52,5920.0,4.13,True,nexsci
Kepler-207 d,0.002,0.002,0.009,0.29,0.0345,1642.0,1380.0,2.992,5.8681,4.1246,11.8,875.52,5920.0,4.13,True,nexsci
Kepler-208 b,0.001,0.001,0.004,0.14,0.0104,1721.0,1447.0,3.089,4.2286,3.3282,12.2,775.33,6092.0,4.26,True,nexsci
Kepler-208 c,0.0,0.0,0.003,0.12,0.0079,1423.0,1196.0,3.105,7.4666,3.87,12.2,775.33,6092.0,4.26,True,nexsci
Kepler-208 d,0.0,0.0,0.002,0.11,0.00588,1246.0,1048.0,3.105,11.1318,4.051,12.2,775.33,6092.0,4.26,True,nexsci
Kepler-208 e,0.0,0.0,0.003,0.13,0.00879,1101.0,925.0,3.097,16.2595,3.906,12.2,775.33,6092.0,4.26,True,nexsci
Kepler-209 b,0.0,0.0,0.006,0.2,0.018,878.0,738.0,3.039,16.0878,2.9725,12.4,576.95,5513.0,4.47,True,nexsci
Kepler-209 c,0.0,0.0,0.009,0.28,0.0308,638.0,536.0,2.998,41.7499,5.6459,12.4,576.95,5513.0,4.47,True,nexsci
Kepler-20 b,0.001,0.002,0.006,0.17,0.03052,1435.0,1207.0,3.433,3.6961,2.463,10.9,282.56,5495.0,4.45,True,nexsci
Kepler-20 c,0.0,0.002,0.016,0.27,0.04012,1002.0,843.0,3.128,10.8541,3.7768,10.9,282.56,5495.0,4.45,True,nexsci
Kepler-20 d,0.0,0.0,0.011,0.24,0.03168,521.0,438.0,3.117,77.6113,7.2566,10.9,282.56,5495.0,4.45,True,nexsci
Kepler-20 e,0.0,0.0,0.002,0.08,0.01,1221.0,1027.0,3.621,6.0985,2.9815,10.9,282.56,5495.0,4.45,True,nexsci
Kepler-20 f,0.0,0.0,0.0,0.09,0.045,826.0,695.0,4.149,19.5776,3.744,10.9,282.56,5495.0,4.45,True,nexsci
Kepler-20 g,,,,0.42,0.0628,681.0,573.0,2.946,34.94,,10.9,282.56,5495.0,4.45,False,nexsci
L 98-59 c,0.0,0.005,0.183,0.12,0.00698,615.0,517.0,3.051,3.6907,1.346,7.1,10.62,3415.0,4.86,True,nexsci
Kepler-210 b,0.001,0.005,0.028,0.26,0.0282,1178.0,991.0,3.008,2.4532,1.6482,11.3,232.75,4559.0,4.66,True,nexsci
Kepler-210 c,0.0,0.003,0.033,0.32,0.0401,797.0,670.0,2.979,7.9725,2.902,11.3,232.75,4559.0,4.66,True,nexsci
V1298 Tau b,0.001,0.033,0.197,0.92,0.236,803.0,675.0,2.843,24.1396,6.42,8.1,108.2,4970.0,4.25,True,nexsci
Kepler-211 b,0.0,0.001,0.007,0.11,0.00669,1214.0,1021.0,3.121,4.1386,2.3093,11.4,309.35,5123.0,4.55,True,nexsci
Kepler-211 c,0.0,0.0,0.001,0.12,0.058,1068.0,898.0,4.036,6.0404,2.0703,11.4,309.35,5123.0,4.55,True,nexsci
Kepler-212 b,0.0,0.0,0.003,0.1,0.00416,1112.0,935.0,3.04,16.2576,6.955,11.6,687.19,5852.0,4.18,True,nexsci
Kepler-212 c,0.0,0.001,0.007,0.24,0.025,891.0,749.0,3.017,31.8052,8.2336,11.6,687.19,5852.0,4.18,True,nexsci
Kepler-213 b,0.001,0.001,0.004,0.14,0.0102,1886.0,1586.0,3.08,2.4624,1.8036,12.1,634.94,5696.0,4.31,True,nexsci
Kepler-213 c,0.0,0.001,0.004,0.21,0.0191,1499.0,1260.0,3.035,4.823,0.8752,12.1,634.94,5696.0,4.31,True,nexsci
Kepler-214 b,0.0,0.001,0.006,0.23,0.023,1140.0,959.0,3.021,15.6605,7.0133,12.6,1208.44,6169.0,4.25,True,nexsci
Kepler-214 c,0.0,0.0,0.004,0.19,0.0163,933.0,785.0,3.049,28.7798,8.349,12.6,1208.44,6169.0,4.25,True,nexsci
Kepler-215 b,0.0,0.0,0.005,0.14,0.0102,1152.0,969.0,3.08,9.3607,3.2069,12.0,486.0,5739.0,4.36,True,nexsci
Kepler-215 c,0.0,0.0,0.005,0.16,0.0119,994.0,836.0,3.072,14.6671,3.7601,12.0,486.0,5739.0,4.36,True,nexsci
Kepler-215 d,0.0,0.0,0.001,0.21,0.074,777.0,653.0,3.607,30.8644,2.7942,12.0,486.0,5739.0,4.36,True,nexsci
Kepler-215 e,0.0,0.0,0.004,0.16,0.0117,596.0,501.0,3.076,68.161,5.662,12.0,486.0,5739.0,4.36,True,nexsci
Kepler-216 b,0.0,0.001,0.006,0.21,0.0193,1395.0,1173.0,3.035,7.6936,5.0934,12.6,1187.47,6091.0,4.28,True,nexsci
Kepler-216 c,0.0,0.001,0.008,0.27,0.0298,1063.0,894.0,3.002,17.4067,6.864,12.6,1187.47,6091.0,4.28,True,nexsci
Kepler-217 b,0.001,0.001,0.004,0.2,0.0176,1862.0,1566.0,3.042,5.3749,3.9617,12.1,1104.64,6171.0,4.03,True,nexsci
Kepler-217 c,0.0,0.0,0.003,0.17,0.0128,1591.0,1338.0,3.066,8.586,3.3494,12.1,1104.64,6171.0,4.03,True,nexsci
Kepler-217 d,0.001,0.0,0.003,0.12,0.00724,2147.0,1805.0,3.11,3.8869,3.658,12.1,1104.64,6341.0,4.08,True,nexsci
Kepler-218 b,0.0,0.001,0.005,0.13,0.00879,1515.0,1274.0,3.097,3.6193,3.0823,12.3,656.38,5502.0,4.39,True,nexsci
Kepler-218 c,0.0,0.0,0.008,0.28,0.0315,652.0,549.0,2.998,44.6996,6.2243,12.3,656.38,5502.0,4.39,True,nexsci
Kepler-218 d,0.0,0.0,0.006,0.24,0.0238,460.0,387.0,3.021,124.5245,9.654,12.3,656.38,5542.0,4.42,True,nexsci
Kepler-219 b,0.001,0.001,0.007,0.26,0.0283,1696.0,1426.0,3.006,4.5855,3.4437,12.4,787.07,5786.0,4.16,True,nexsci
Kepler-219 c,0.0,0.001,0.007,0.32,0.0394,997.0,838.0,2.982,22.7146,5.8431,12.4,787.07,5786.0,4.16,True,nexsci
Kepler-219 d,0.0,0.0,0.002,0.25,0.06,777.0,653.0,3.373,47.9036,5.756,12.4,787.07,5786.0,4.16,True,nexsci
Kepler-21 b,0.015,0.006,0.022,0.15,0.01598,2411.0,2028.0,3.269,2.7858,3.4834,6.9,108.52,6305.0,4.03,True,nexsci
Kepler-220 b,0.0,0.0,0.013,0.07,0.00144,1014.0,852.0,2.838,4.1598,1.6101,10.6,171.11,4632.0,4.65,True,nexsci
Kepler-220 c,0.0,0.001,0.011,0.14,0.00972,789.0,663.0,3.09,9.0342,1.5501,10.6,171.11,4632.0,4.65,True,nexsci
Kepler-220 d,0.0,0.0,0.01,0.09,0.00284,539.0,453.0,2.968,28.1224,4.2306,10.6,171.11,4632.0,4.65,True,nexsci
Kepler-220 e,0.0,0.0,0.009,0.12,0.00733,457.0,385.0,3.108,45.9027,5.1252,10.6,171.11,4632.0,4.65,True,nexsci
Kepler-221 b,0.001,0.001,0.009,0.15,0.0112,1415.0,1190.0,3.074,2.7959,2.064,11.9,385.23,5243.0,4.54,True,nexsci
Kepler-221 c,0.0,0.002,0.009,0.26,0.048,1121.0,943.0,3.242,5.6906,2.522,11.9,385.23,5243.0,4.54,True,nexsci
Kepler-221 d,0.0,0.001,0.012,0.24,0.0249,923.0,776.0,3.016,10.0416,2.5558,11.9,385.23,5243.0,4.54,True,nexsci
Kepler-221 e,0.0,0.0,0.009,0.23,0.0233,755.0,635.0,3.019,18.3699,2.245,11.9,385.23,5243.0,4.54,True,nexsci
Kepler-222 b,0.001,0.002,0.008,0.28,0.0319,1326.0,1115.0,2.998,3.937,1.828,13.2,758.85,5433.0,4.55,True,nexsci
Kepler-222 c,0.0,0.001,0.01,0.41,0.0612,963.0,810.0,2.947,10.0888,1.714,13.2,758.85,5433.0,4.55,True,nexsci
Kepler-222 d,0.0,0.0,0.008,0.33,0.0415,685.0,576.0,2.978,28.0819,4.541,13.2,758.85,5433.0,4.55,True,nexsci
Kepler-223 b,0.001,0.001,0.004,0.27,0.02328,1587.0,1335.0,2.908,7.3845,5.7351,13.6,1859.71,5803.0,4.46,True,nexsci
Kepler-223 c,0.0,0.001,0.009,0.31,0.01605,1442.0,1213.0,2.625,9.8456,5.7471,13.6,1859.71,5803.0,4.46,True,nexsci
Kepler-223 d,0.0,0.001,0.018,0.47,0.02517,1259.0,1059.0,2.456,14.7887,6.1191,13.6,1859.71,5803.0,4.46,True,nexsci
DS Tuc A b,0.001,0.03,0.017,0.51,1.3,,850.0,4.095,8.1383,3.1764,6.7,44.06,5428.0,4.6,True,nexsci
Kepler-223 e,0.0,0.001,0.02,0.41,0.0151,1144.0,962.0,2.348,19.7257,7.202,13.6,1859.71,5803.0,4.46,True,nexsci
Kepler-224 b,0.0,0.0,0.004,0.12,0.0079,1217.0,1024.0,3.105,3.1329,2.1769,13.7,782.09,5018.0,4.64,True,nexsci
GJ 357 b,0.0,0.004,0.169,0.11,0.00579,626.0,527.0,3.082,3.9307,1.53,6.5,9.44,3505.0,4.94,True,nexsci
Kepler-224 c,0.0,0.001,0.01,0.28,0.0312,985.0,829.0,3.0,5.925,2.843,13.7,782.09,5018.0,4.64,True,nexsci
Kepler-224 d,0.0,0.0,0.006,0.2,0.0186,795.0,669.0,3.04,11.3494,3.1065,13.7,782.09,5018.0,4.64,True,nexsci
Kepler-224 e,0.0,0.0,0.003,0.18,0.0143,674.0,567.0,3.059,18.6436,1.7619,13.7,782.09,5018.0,4.64,True,nexsci
Kepler-225 b,0.0,0.0,0.005,0.11,0.00588,618.0,520.0,3.105,6.739,3.018,13.3,561.1,3682.0,4.78,True,nexsci
Kepler-225 c,0.0,0.0,0.006,0.16,0.0127,439.0,369.0,3.068,18.7942,3.2906,13.3,561.1,3682.0,4.78,True,nexsci
Kepler-226 b,0.0,0.0,0.0,0.14,0.076,1318.0,1108.0,3.995,3.941,2.5444,13.6,980.14,5571.0,4.59,True,nexsci
Kepler-226 c,0.0,0.001,0.001,0.2,0.142,1186.0,998.0,3.932,5.3496,3.0278,13.6,980.14,5571.0,4.59,True,nexsci
Kepler-226 d,0.0,0.0,0.003,0.11,0.00624,1036.0,872.0,3.115,8.109,3.596,13.6,980.14,5571.0,4.59,True,nexsci
Kepler-227 b,0.0,0.001,0.005,0.28,0.031,1168.0,982.0,3.001,9.488,3.113,13.6,1083.06,5854.0,4.4,True,nexsci
Kepler-227 c,0.0,0.0,0.003,0.27,0.0298,651.0,547.0,3.002,54.4187,4.507,13.6,1083.06,5854.0,4.4,True,nexsci
Kepler-228 b,0.0,0.0,0.002,0.14,0.0093,1787.0,1502.0,3.096,2.5665,2.388,14.1,1644.61,6043.0,4.47,True,nexsci
Kepler-228 c,0.001,0.001,0.005,0.24,0.0244,1527.0,1284.0,3.018,4.1344,3.1797,14.1,1644.61,6043.0,4.47,True,nexsci
Kepler-228 d,0.0,0.001,0.007,0.36,0.0483,1096.0,921.0,2.966,11.0943,4.5483,14.1,1644.61,6043.0,4.47,True,nexsci
Kepler-229 b,0.0,0.0,0.005,0.2,0.0172,1007.0,847.0,3.045,6.253,2.5918,13.8,826.26,5120.0,4.63,True,nexsci
Kepler-229 c,0.0,0.001,0.013,0.44,0.0676,733.0,617.0,2.939,16.0686,3.5458,13.8,826.26,5120.0,4.63,True,nexsci
Kepler-229 d,0.0,0.0,0.008,0.34,0.0445,535.0,450.0,2.972,41.1949,4.6297,13.8,826.26,5120.0,4.63,True,nexsci
Kepler-22 b,0.0,0.0,0.002,0.21,0.113,340.0,286.0,3.795,289.8623,7.415,10.2,194.64,5518.0,4.44,True,nexsci
Kepler-230 b,0.0,0.0,0.011,0.38,0.0529,664.0,558.0,2.958,32.6256,4.7971,13.3,740.75,5588.0,4.55,True,nexsci
Kepler-230 c,0.0,0.0,0.003,0.18,0.0152,471.0,396.0,3.056,91.7732,6.473,13.3,740.75,5588.0,4.55,True,nexsci
Kepler-231 b,0.0,0.0,0.001,0.15,0.111,556.0,467.0,4.064,10.0653,1.369,12.6,316.62,3767.0,4.78,True,nexsci
Kepler-231 c,0.0,0.0,0.001,0.17,0.076,448.0,377.0,3.804,19.2716,2.7594,12.6,316.62,3767.0,4.78,True,nexsci
Kepler-232 b,0.001,0.001,0.007,0.28,0.0305,1421.0,1195.0,3.0,4.4312,3.1203,13.8,1349.13,5847.0,4.5,True,nexsci
Kepler-232 c,0.0,0.001,0.006,0.34,0.0442,1039.0,874.0,2.972,11.3793,2.6255,13.8,1349.13,5847.0,4.5,True,nexsci
Kepler-233 b,0.0,0.001,0.006,0.22,0.0204,966.0,812.0,3.031,8.4724,2.7168,13.5,856.42,5360.0,4.61,True,nexsci
Kepler-233 c,0.0,0.0,0.005,0.24,0.0245,500.0,421.0,3.016,60.419,5.619,13.5,856.42,5360.0,4.61,True,nexsci
Kepler-234 b,0.003,0.002,0.008,0.33,0.0416,1880.0,1581.0,2.976,2.7115,3.0099,14.1,1733.1,6224.0,4.42,True,nexsci
Kepler-234 c,0.0,0.001,0.006,0.31,0.0381,1355.0,1140.0,2.984,7.212,4.0598,14.1,1733.1,6224.0,4.42,True,nexsci
Kepler-235 b,0.0,0.001,0.01,0.2,0.0176,941.0,791.0,3.042,3.3402,1.8672,13.1,428.02,4255.0,4.73,True,nexsci
Kepler-235 c,0.0,0.0,0.004,0.11,0.00687,710.0,597.0,3.117,7.8249,2.289,13.1,428.02,4255.0,4.73,True,nexsci
Kepler-235 d,0.0,0.0,0.006,0.18,0.0153,518.0,436.0,3.054,20.0605,3.197,13.1,428.02,4255.0,4.73,True,nexsci
EPIC 220554210 c,,,,0.14,0.01,,,3.084,0.7053,1.704,12.0,496.29,5499.0,4.5,True,nexsci
Kepler-235 e,0.0,0.0,0.006,0.2,0.0175,392.0,330.0,3.044,46.1837,4.484,13.1,428.02,4255.0,4.73,True,nexsci
Kepler-236 b,0.0,0.0,0.005,0.14,0.00972,602.0,507.0,3.09,8.2956,1.1972,12.3,288.76,3750.0,4.75,True,nexsci
K2-308 b,,,,0.88,0.222,,,2.848,3.3863,3.09,13.2,1314.53,6100.0,3.94,True,nexsci
Kepler-236 c,0.0,0.0,0.009,0.18,0.0147,423.0,355.0,3.061,23.9681,3.826,12.3,288.76,3750.0,4.75,True,nexsci
Kepler-237 b,0.0,0.0,0.004,0.13,0.00809,1058.0,889.0,3.101,4.7151,2.39,13.2,657.82,4861.0,4.58,True,nexsci
Kepler-237 c,0.0,0.0,0.006,0.19,0.0157,888.0,746.0,3.051,8.1036,3.197,13.2,657.82,4861.0,4.58,True,nexsci
Kepler-238 b,0.001,0.001,0.003,0.15,0.0115,2139.0,1798.0,3.08,2.0909,3.388,13.5,1798.75,5751.0,4.19,True,nexsci
Kepler-238 c,0.0,0.001,0.004,0.21,0.0198,1501.0,1262.0,3.034,6.1556,4.9843,13.5,1798.75,5751.0,4.19,True,nexsci
Kepler-238 d,0.0,0.001,0.004,0.27,0.0303,1163.0,978.0,3.0,13.2335,6.7372,13.5,1798.75,5751.0,4.19,True,nexsci
Kepler-238 e,0.0,0.001,0.003,0.5,0.534,791.0,665.0,3.724,23.654,8.2183,13.5,1798.75,5732.0,4.49,True,nexsci
Kepler-238 f,0.0,0.0,0.001,0.18,0.042,614.0,517.0,3.517,50.447,7.159,13.5,1798.75,5732.0,4.49,True,nexsci
Kepler-239 b,0.0,0.0,0.006,0.21,0.019,797.0,670.0,3.037,11.7631,2.9076,13.1,648.11,4914.0,4.58,True,nexsci
Kepler-239 c,0.0,0.0,0.004,0.22,0.0215,475.0,399.0,3.026,56.2281,3.372,13.1,648.11,4914.0,4.58,True,nexsci
Kepler-23 b,0.0,0.001,0.0,0.17,0.8,1487.0,1250.0,4.836,7.1073,5.1462,12.0,835.76,5760.0,4.0,True,nexsci
Kepler-23 c,0.0,0.001,0.0,0.28,2.7,1294.0,1088.0,4.916,10.7421,6.0633,12.0,835.76,5760.0,4.0,True,nexsci
Kepler-23 d,0.0,0.001,0.001,0.2,0.055,1182.0,994.0,3.55,15.2743,6.1502,12.0,835.76,5828.0,4.09,True,nexsci
Kepler-240 b,0.0,0.0,0.003,0.12,0.00771,1122.0,944.0,3.109,4.1445,2.3683,13.5,746.93,4985.0,4.63,True,nexsci
Kepler-240 c,0.0,0.0,0.0,0.2,0.322,904.0,760.0,4.318,7.9535,2.6287,13.5,746.93,4985.0,4.63,True,nexsci
Kepler-241 b,0.0,0.0,0.008,0.21,0.019,719.0,605.0,3.037,12.7181,3.0628,12.9,512.0,4699.0,4.63,True,nexsci
Kepler-241 c,0.0,0.0,0.007,0.23,0.0224,507.0,427.0,3.025,36.066,4.3246,12.9,512.0,4699.0,4.63,True,nexsci
Kepler-242 b,0.0,0.001,0.006,0.23,0.023,969.0,815.0,3.021,8.204,2.74,13.2,600.24,5020.0,4.49,True,nexsci
